hopetown_14_15,midrand_ew_5,pvlib_hopetown_0_15,pvlib_hopetown_0_15_0.9
86.32979257,46.09316129,85.95773789,77.36196411
86.32979257,46.09316129,89.12647541,80.21382786
86.3271692,52.43786673,91.30204562,82.17184106
86.3271692,52.43786673,92.76269667,83.48642701
86.32300027,46.1154095,93.12162822,83.8094654
86.32300027,46.1154095,91.02524114,81.92271703
81.99160792,43.44695169,87.80448836,79.02403952
81.99160792,43.44695169,84.0312031,75.62808279
67.94809517,38.24883096,78.89459593,71.00513634
67.94809517,38.24883096,71.39557652,64.25601887
46.67032267,35.17625491,62.92800145,56.6352013
46.67032267,35.17625491,53.71460965,48.34314868
23.3541469,12.5344791,43.32176489,38.9895884
23.3541469,12.5344791,30.25266212,27.22739591
2.962585793,0.287855449,18.80688993,16.92620093
2.962585793,0.287855449,6.899522438,6.209570194
0,0,4.260518159,3.834466343
0,0,2.143019586,1.928717627
