Component Type,System Type,Brand Name,Number Of Phases,Power Rating (kVA),Number of Inputs,Max Input Current per Input (A),Number of MPPT,Max Input Current per MPPT (A),Max Isc per MPPT (A),Max DC Input Voltage per MPPT (V),Min Operating Voltage Range (V),Max Operating Voltage Range (V),Rated Input Voltage (V),Description,Notes,Supplier,Updated,Unit Cost
Inverter,Hybrid,Sunsynk,1,16,4,,2,26,,500,150,450,,Sunsynk 16 kW 1P Hybrid 48V,,ARB,02 July 2025,R50 299.32
Inverter,Hybrid,Sunsynk,3,12,2,,2,25,,800,150,650,,Sunsynk 12kW 3P Hyb Inv 48v Incl Wifi,,ARB,02 July 2025,R42 381.59
Inverter,Hybrid,Sunsynk,3,50,4,,2,36,,1000,150,850,,Sunsynk 50kW 3P Hybrid PV Inverter HV,,Heroldts,02 July 2025,R91 845.03
Inverter,Grid?Tie,Verto,3,27,4,,28,,,1000,150,870,,Verto 27.0kW incl SPD 1+2,,Innomatic Solar,17 June 2025,R58 154.60
Inverter,Grid?Tie,Verto,3,33.3,4,,28,,,1000,150,870,,Verto 33.3kW incl SPD 1+2,,Innomatic Solar,17 June 2025,R66 275.30
Inverter,Hybrid,Victron,1,3,,,,,,,,,,MultiPlus-II 48/3000/35-32 230V,,,17 June 2025,R6 810.30
Inverter,Hybrid,Victron,1,3,,,,,,,,,,MultiPlus-II 48/3000/35-32 230V GX,,,17 June 2025,R7 758.80
Inverter,Hybrid,Victron,1,5,,,,,,,,,,MultiPlus-II 48/5000/70-50 230V GX,,8161.43,17 June 2025,R10 697.40
Inverter,Hybrid,Victron,1,5,,,,,,,,,,MultiPlus-II 48/5000/70-50 230V,,,17 June 2025,R8 463.70
Inverter,Hybrid,Victron,1,8,,,,,,,,,,MultiPlus-II 48/8000/110-100/100 230V,,,17 June 2025,R18 739.70
Inverter,Hybrid,Victron,1,10,,,,,,,,,,MultiPlus-II 48/10000/140-100/100 230V,,,17 June 2025,R22 382.50
Inverter,Hybrid,Victron,1,15,,,,,,,,,,MultiPlus-II 48/15000/140-100/100 230V,,,17 June 2025,R31 231.90
Inverter,Hybrid,Victron,1,5,,,,,,,,,,Quattro 48/5000/70-100/100 230V VE.Bus,,,17 June 2025,R19 234.60
Inverter,Hybrid,Victron,1,8,,,,,,,,,,Quattro 48/8000/110-100/100 230V VE.Bus,,,17 June 2025,R25 387.60
Inverter,Hybrid,Victron,1,10,,,,,,,,,,Quattro 48/10000/140-100/100 230V VE.Bus,,,17 June 2025,R30 332.40
Inverter,Hybrid,Victron,1,15,,,,,,,,,,Quattro 48/15000/200-100/100 230V VE.Bus,,Solar Energy,17 June 2025,R38 635.80
