Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m]
Ruraflex,Non-Local Authority,[0 - 300km],< 500V,Ruraflex_Non-Local Authority_[0 - 300km]_< 500V,Ru01N,714.331914,216.40443,117.542724,233.03358,160.350102,101.736576,0,0,0,0,0,41.26284
Ruraflex,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,Ru02N,707.27439,214.284918,116.336406,230.733684,158.760468,100.67682,0,0,0,0,0,37.812996
Ruraflex,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Ru03N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[0 - 300km],> 132kV,Ruraflex_Non-Local Authority_[0 - 300km]_> 132kV,Ru04N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[301 - 600km],< 500V,Ruraflex_Non-Local Authority_[301 - 600km]_< 500V,Ru11N,721.513452,218.580312,118.703946,235.356024,161.996106,102.785058,0,0,0,0,0,41.386854
Ruraflex,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,Ru12N,714.32064,216.381882,117.542724,233.03358,160.338828,101.736576,0,0,0,0,0,38.027202
Ruraflex,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Ruraflex_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Ru13N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[301 - 600km],> 132kV,Ruraflex_Non-Local Authority_[301 - 600km]_> 132kV,Ru14N,0,0,0,0,0,0,0,0,0,0,0,0
Ruraflex,Non-Local Authority,[601 - 900km],< 500V,Ruraflex_Non-Local Authority_[601 - 900km]_< 500V,Ru21N,728.728812,220.778742,119.876442,237.723564,163.58574,103.822266,0,0,0,0,0,41.589786
Ruraflex,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Ruraflex_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,Ru22N,721.457082,218.512668,118.703946,235.356024,161.996106,102.785058,0,0,0,0,0,38.21886
